Start,End,Path
"(161.0, 46.0)","(133.0, 82.0)","[(161.0, 46.0), (161.0, 47.0), (161.0, 48.0), (161.0, 49.0), (161.0, 50.0), (161.0, 51.0), (161.0, 52.0), (161.0, 53.0), (161.0, 54.0), (161.0, 55.0), (161.0, 56.0), (161.0, 57.0), (161.0, 58.0), (161.0, 59.0), (161.0, 60.0), (161.0, 61.0), (161.0, 62.0), (161.0, 63.0), (161.0, 64.0), (161.0, 65.0), (161.0, 66.0), (161.0, 67.0), (161.0, 68.0), (161.0, 69.0), (161.0, 70.0), (161.0, 71.0), (161.0, 72.0), (161.0, 73.0), (161.0, 74.0), (161.0, 75.0), (161.0, 76.0), (161.0, 77.0), (161.0, 78.0), (161.0, 79.0), (161.0, 80.0), (161.0, 81.0), (161.0, 82.0), (161.0, 83.0), (160.0, 83.0), (159.0, 83.0), (158.0, 83.0), (157.0, 83.0), (156.0, 83.0), (155.0, 83.0), (154.0, 83.0), (153.0, 83.0), (152.0, 83.0), (151.0, 83.0), (150.0, 83.0), (149.0, 83.0), (148.0, 83.0), (147.0, 83.0), (146.0, 83.0), (145.0, 83.0), (144.0, 83.0), (143.0, 83.0), (142.0, 83.0), (141.0, 83.0), (140.0, 83.0), (139.0, 83.0), (138.0, 83.0), (137.0, 83.0), (136.0, 83.0), (135.0, 83.0), (134.0, 83.0), (133.0, 83.0), (133.0, 82.0)]"
"(133.0, 82.0)","(135.0, 60.0)","[(133.0, 82.0), (133.0, 81.0), (133.0, 80.0), (133.0, 79.0), (133.0, 78.0), (133.0, 77.0), (133.0, 76.0), (133.0, 75.0), (133.0, 74.0), (133.0, 73.0), (133.0, 72.0), (133.0, 71.0), (133.0, 70.0), (133.0, 69.0), (133.0, 68.0), (133.0, 67.0), (133.0, 66.0), (133.0, 65.0), (133.0, 64.0), (133.0, 63.0), (133.0, 62.0), (133.0, 61.0), (133.0, 60.0), (134.0, 60.0), (135.0, 60.0)]"
"(133.0, 82.0)","(105.0, 82.0)","[(133.0, 82.0), (132.0, 82.0), (131.0, 82.0), (130.0, 82.0), (129.0, 82.0), (128.0, 82.0), (127.0, 82.0), (126.0, 82.0), (125.0, 82.0), (124.0, 82.0), (123.0, 82.0), (122.0, 82.0), (121.0, 82.0), (120.0, 82.0), (119.0, 82.0), (118.0, 82.0), (117.0, 82.0), (116.0, 82.0), (115.0, 82.0), (115.0, 81.0), (114.0, 81.0), (113.0, 81.0), (112.0, 81.0), (111.0, 81.0), (110.0, 81.0), (109.0, 81.0), (108.0, 81.0), (107.0, 81.0), (106.0, 81.0), (105.0, 81.0), (105.0, 82.0)]"
"(105.0, 82.0)","(95.0, 84.0)","[(105.0, 82.0), (104.0, 82.0), (103.0, 82.0), (102.0, 82.0), (101.0, 82.0), (100.0, 82.0), (99.0, 82.0), (98.0, 82.0), (97.0, 82.0), (96.0, 82.0), (95.0, 82.0), (95.0, 83.0), (95.0, 84.0)]"
"(105.0, 82.0)","(105.0, 62.0)","[(105.0, 82.0), (105.0, 81.0), (105.0, 80.0), (105.0, 79.0), (105.0, 78.0), (105.0, 77.0), (105.0, 76.0), (105.0, 75.0), (105.0, 74.0), (105.0, 73.0), (105.0, 72.0), (105.0, 71.0), (105.0, 70.0), (105.0, 69.0), (105.0, 68.0), (105.0, 67.0), (105.0, 66.0), (105.0, 65.0), (105.0, 64.0), (105.0, 63.0), (105.0, 62.0)]"
"(97.0, 62.0)","(91.0, 46.0)","[(97.0, 62.0), (96.0, 62.0), (95.0, 62.0), (94.0, 62.0), (93.0, 62.0), (92.0, 62.0), (91.0, 62.0), (91.0, 61.0), (91.0, 60.0), (91.0, 59.0), (91.0, 58.0), (91.0, 57.0), (91.0, 56.0), (91.0, 55.0), (91.0, 54.0), (91.0, 53.0), (91.0, 52.0), (91.0, 51.0), (91.0, 50.0), (91.0, 49.0), (91.0, 48.0), (91.0, 47.0), (91.0, 46.0)]"
"(103.0, 96.0)","(145.0, 82.0)","[(103.0, 96.0), (103.0, 95.0), (103.0, 94.0), (103.0, 93.0), (103.0, 92.0), (103.0, 91.0), (103.0, 90.0), (103.0, 89.0), (103.0, 88.0), (103.0, 87.0), (103.0, 86.0), (103.0, 85.0), (103.0, 84.0), (103.0, 83.0), (104.0, 83.0), (105.0, 83.0), (106.0, 83.0), (107.0, 83.0), (108.0, 83.0), (109.0, 83.0), (110.0, 83.0), (111.0, 83.0), (112.0, 83.0), (113.0, 83.0), (113.0, 82.0), (113.0, 81.0), (113.0, 80.0), (114.0, 80.0), (115.0, 80.0), (116.0, 80.0), (117.0, 80.0), (118.0, 80.0), (119.0, 80.0), (120.0, 80.0), (121.0, 80.0), (122.0, 80.0), (123.0, 80.0), (124.0, 80.0), (125.0, 80.0), (126.0, 80.0), (127.0, 80.0), (128.0, 80.0), (129.0, 80.0), (130.0, 80.0), (131.0, 80.0), (132.0, 80.0), (133.0, 80.0), (134.0, 80.0), (134.0, 81.0), (135.0, 81.0), (136.0, 81.0), (136.0, 82.0), (137.0, 82.0), (138.0, 82.0), (139.0, 82.0), (140.0, 82.0), (141.0, 82.0), (142.0, 82.0), (143.0, 82.0), (144.0, 82.0), (145.0, 82.0)]"
"(103.0, 96.0)","(93.0, 96.0)","[(103.0, 96.0), (102.0, 96.0), (101.0, 96.0), (100.0, 96.0), (99.0, 96.0), (98.0, 96.0), (97.0, 96.0), (96.0, 96.0), (95.0, 96.0), (94.0, 96.0), (93.0, 96.0)]"
"(103.0, 96.0)","(129.0, 134.0)","[(103.0, 96.0), (103.0, 97.0), (103.0, 98.0), (103.0, 99.0), (103.0, 100.0), (103.0, 101.0), (103.0, 102.0), (103.0, 103.0), (103.0, 104.0), (103.0, 105.0), (103.0, 106.0), (103.0, 107.0), (103.0, 108.0), (103.0, 109.0), (103.0, 110.0), (103.0, 111.0), (103.0, 112.0), (103.0, 113.0), (103.0, 114.0), (103.0, 115.0), (103.0, 116.0), (103.0, 117.0), (103.0, 118.0), (103.0, 119.0), (104.0, 119.0), (105.0, 119.0), (106.0, 119.0), (107.0, 119.0), (108.0, 119.0), (109.0, 119.0), (110.0, 119.0), (111.0, 119.0), (112.0, 119.0), (113.0, 119.0), (114.0, 119.0), (115.0, 119.0), (116.0, 119.0), (117.0, 119.0), (118.0, 119.0), (119.0, 119.0), (120.0, 119.0), (121.0, 119.0), (122.0, 119.0), (123.0, 119.0), (124.0, 119.0), (125.0, 119.0), (126.0, 119.0), (127.0, 119.0), (128.0, 119.0), (129.0, 119.0), (130.0, 119.0), (131.0, 119.0), (132.0, 119.0), (133.0, 119.0), (134.0, 119.0), (135.0, 119.0), (136.0, 119.0), (136.0, 118.0), (137.0, 118.0), (137.0, 119.0), (137.0, 120.0), (136.0, 120.0), (135.0, 120.0), (134.0, 120.0), (133.0, 120.0), (132.0, 120.0), (131.0, 120.0), (130.0, 120.0), (129.0, 120.0), (129.0, 121.0), (129.0, 122.0), (129.0, 123.0), (129.0, 124.0), (129.0, 125.0), (129.0, 126.0), (129.0, 127.0), (129.0, 128.0), (129.0, 129.0), (129.0, 130.0), (129.0, 131.0), (129.0, 132.0), (129.0, 133.0), (129.0, 134.0)]"
"(165.0, 134.0)","(99.0, 118.0)","[(165.0, 134.0), (164.0, 134.0), (163.0, 134.0), (162.0, 134.0), (161.0, 134.0), (161.0, 133.0), (161.0, 132.0), (161.0, 131.0), (161.0, 130.0), (161.0, 129.0), (161.0, 128.0), (161.0, 127.0), (161.0, 126.0), (161.0, 125.0), (161.0, 124.0), (161.0, 123.0), (161.0, 122.0), (161.0, 121.0), (161.0, 120.0), (160.0, 120.0), (159.0, 120.0), (158.0, 120.0), (157.0, 120.0), (156.0, 120.0), (155.0, 120.0), (154.0, 120.0), (153.0, 120.0), (152.0, 120.0), (151.0, 120.0), (150.0, 120.0), (149.0, 120.0), (148.0, 120.0), (147.0, 120.0), (146.0, 120.0), (145.0, 120.0), (144.0, 120.0), (143.0, 120.0), (142.0, 120.0), (141.0, 120.0), (140.0, 120.0), (139.0, 120.0), (139.0, 119.0), (139.0, 118.0), (139.0, 117.0), (138.0, 117.0), (137.0, 117.0), (136.0, 117.0), (135.0, 117.0), (134.0, 117.0), (133.0, 117.0), (132.0, 117.0), (131.0, 117.0), (130.0, 117.0), (129.0, 117.0), (128.0, 117.0), (127.0, 117.0), (126.0, 117.0), (125.0, 117.0), (124.0, 117.0), (123.0, 117.0), (122.0, 117.0), (121.0, 117.0), (120.0, 117.0), (119.0, 117.0), (118.0, 117.0), (117.0, 117.0), (116.0, 117.0), (115.0, 117.0), (114.0, 117.0), (113.0, 117.0), (112.0, 117.0), (111.0, 117.0), (110.0, 117.0), (109.0, 117.0), (108.0, 117.0), (107.0, 117.0), (106.0, 117.0), (105.0, 117.0), (104.0, 117.0), (103.0, 117.0), (102.0, 117.0), (101.0, 117.0), (100.0, 117.0), (99.0, 117.0), (99.0, 118.0)]"
